brandName,genericName,strength,formulation,category,aliases,betaAllowed
Pantaban 40mg Tablet,Pantoprazole,40mg,Tablet,PPIs/Reflux,"['Aciban 40 Tablet', 'Apnicid 40mg Tablet', 'Arropan 40mg Tablet']",True
Pantabhas D 30mg/40mg Capsule SR,Domperidone,30mg,Capsule,PPIs/Reflux,"['Acera-D Capsule SR', 'Anleo-DSR Capsule', 'Arorab HD 30mg/40mg Capsule SR']",True
Pantabit 40mg Tablet,Pantoprazole,40mg,Tablet,PPIs/Reflux,"['Aciban 40 Tablet', 'Apnicid 40mg Tablet', 'Arropan 40mg Tablet']",True
Pantabit DSR 30mg/40mg Capsule,Domperidone,30mg,Capsule,PPIs/Reflux,"['Acera-D Capsule SR', 'Anleo-DSR Capsule', 'Arorab HD 30mg/40mg Capsule SR']",True
Pantabit I 40mg/150mg Capsule SR,Pantoprazole,40mg,Capsule,PPIs/Reflux,"['Alizol-IP 40mg/150mg Capsule SR', 'Amalzol-IT Capsule SR', 'Avtop I 40mg/150mg Capsule SR']",True
Pantabol 40mg Tablet,Pantoprazole,40mg,Tablet,PPIs/Reflux,"['Aciban 40 Tablet', 'Apnicid 40mg Tablet', 'Arropan 40mg Tablet']",True
Pantabol D 10mg/40mg Tablet,Domperidone,10mg,Tablet,PPIs/Reflux,"['Aciloc RD 20 Tablet', 'Alsar D 10mg/20mg Tablet', 'Arcopan D 10mg/40mg Tablet']",True
Pantabol D 30mg/40mg Capsule SR,Domperidone,30mg,Capsule,PPIs/Reflux,"['Acera-D Capsule SR', 'Anleo-DSR Capsule', 'Arorab HD 30mg/40mg Capsule SR']",True
Pantac 40mg Tablet,Pantoprazole,40mg,Tablet,PPIs/Reflux,"['Aciban 40 Tablet', 'Apnicid 40mg Tablet', 'Arropan 40mg Tablet']",True
Pantac D 30mg/40mg Capsule SR,Domperidone,30mg,Capsule,PPIs/Reflux,"['Acera-D Capsule SR', 'Anleo-DSR Capsule', 'Arorab HD 30mg/40mg Capsule SR']",True
Pantacare 40mg Tablet,Pantoprazole,40mg,Tablet,PPIs/Reflux,"['Aciban 40 Tablet', 'Apnicid 40mg Tablet', 'Arropan 40mg Tablet']",True
Pantacare D 30mg/40mg Capsule SR,Domperidone,30mg,Capsule,PPIs/Reflux,"['Acera-D Capsule SR', 'Anleo-DSR Capsule', 'Arorab HD 30mg/40mg Capsule SR']",True
Pantacet 40mg Tablet,Pantoprazole,40mg,Tablet,PPIs/Reflux,"['Aciban 40 Tablet', 'Apnicid 40mg Tablet', 'Arropan 40mg Tablet']",True
Pantachem 40 Tablet,Pantoprazole,40mg,Tablet,PPIs/Reflux,"['Aciban 40 Tablet', 'Apnicid 40mg Tablet', 'Arropan 40mg Tablet']",True
Pantacil-D Capsule SR,Domperidone,30mg,Capsule,PPIs/Reflux,"['Acera-D Capsule SR', 'Anleo-DSR Capsule', 'Arorab HD 30mg/40mg Capsule SR']",True
Pantacip 40mg Tablet,Pantoprazole,40mg,Tablet,PPIs/Reflux,"['Aciban 40 Tablet', 'Apnicid 40mg Tablet', 'Arropan 40mg Tablet']",True
