brandName,genericName,strength,formulation,category,aliases,betaAllowed
A Cold 5mg/500mg/30mg Tablet,Cetirizine,5mg,Tablet,Antihistamines,"['Alerid-D Tablet', 'Alerid Cold Tablet', 'Alkem Cold 5 mg/500 mg/5 mg Tablet']",True
A-Cet 10mg Tablet,Cetirizine,10mg,Tablet,Antihistamines,"['Alerid Tablet', 'Allercet-DC Tablet', 'Agmacet 10mg Tablet']",True
A-Cet 5mg Syrup,Cetirizine,5mg,Syrup,Antihistamines,"['Alkof LS Syrup', 'Act Syrup', 'Alernyl 5 mg/10 mg Syrup']",True
A2D Syrup,Levocetirizine,2.5mg/5ml,Syrup,Antihistamines,"['Allercet-M Syrup', 'Alday Duo Syrup', 'Acolate M Kid Syrup Orange']",True
A2D Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
AA 5 Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
AA M Syrup,Levocetirizine,2.5mg/5ml,Syrup,Antihistamines,"['Allercet-M Syrup', 'Alday Duo Syrup', 'Acolate M Kid Syrup Orange']",True
AA-M Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
AC-Breathe-Plus Tablet SR,Montelukast,10mg,Tablet,Antihistamines,"['Allegra-M Tablet', 'Air-M Tablet', 'Acegrow 3D Tablet']",True
ACB 3D 10mg/120mg/200mg Tablet,Montelukast,10mg,Tablet,Antihistamines,"['Allegra-M Tablet', 'Air-M Tablet', 'Acegrow 3D Tablet']",True
AFM Tablet,Montelukast,10mg,Tablet,Antihistamines,"['Allegra-M Tablet', 'Air-M Tablet', 'Acegrow 3D Tablet']",True
AG 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
AH Plus Tablet,Levocetirizine,NA,Tablet,Antihistamines,"['Amrox LC Tablet', 'Allerone-M Kid Tablet', 'Anticet Tablet']",True
AL 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
AX Cold Syrup,Cetirizine,2.5mg/5ml,Syrup,Antihistamines,"['Alocet-XL 2.5mg/5ml/30mg/5ml Syrup', 'Ascodex Mintz Ctz Syrup', 'Acecold Syrup']",True
AZ 10mg Tablet,Cetirizine,10mg,Tablet,Antihistamines,"['Alerid Tablet', 'Allercet-DC Tablet', 'Agmacet 10mg Tablet']",True
Aaeka Levo 5 Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Aamont-LC Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Aaptol CZ 5mg/500mg/5mg Tablet,Cetirizine,5mg,Tablet,Antihistamines,"['Alerid-D Tablet', 'Alerid Cold Tablet', 'Alkem Cold 5 mg/500 mg/5 mg Tablet']",True
Aarkast F 10mg/120mg Tablet,Montelukast,10mg,Tablet,Antihistamines,"['Allegra-M Tablet', 'Air-M Tablet', 'Acegrow 3D Tablet']",True
Abcet 5mg/60mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Aberset FM 10mg/120mg Tablet,Montelukast,10mg,Tablet,Antihistamines,"['Allegra-M Tablet', 'Air-M Tablet', 'Acegrow 3D Tablet']",True
Abfex-M Tablet SR,Montelukast,10mg,Tablet,Antihistamines,"['Allegra-M Tablet', 'Air-M Tablet', 'Acegrow 3D Tablet']",True
Abice- M Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Abicet LA 5mg/500mg/5mg Tablet,Cetirizine,5mg,Tablet,Antihistamines,"['Alerid-D Tablet', 'Alerid Cold Tablet', 'Alkem Cold 5 mg/500 mg/5 mg Tablet']",True
Abicet M Syrup,Levocetirizine,2.5mg,Syrup,Antihistamines,"['Alzero M Syrup', 'Alday Kid Syrup', 'Allercet-L Syrup']",True
Abicet Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Abicet-L 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Abicet-M Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Abicold Tablet,Caffeine,25mg,Tablet,Antihistamines,"['Albicold N Tablet', 'Alflam Kold Tablet', 'Avokold N Tablet']",True
Abides Tablet,Desloratadine,5mg,Tablet,Antihistamines,"['Alides 5mg Tablet', 'Alenix 5 Tablet', 'Allerde 5mg Tablet']",True
Abiliv 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Abiliv A 5mg/60mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Abimonte Tablet,Montelukast,10mg,Tablet,Antihistamines,"['Allegra-M Tablet', 'Air-M Tablet', 'Acegrow 3D Tablet']",True
Ablevo 5 Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Abllin-LC Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Abmac Tablet,Acebrophylline,200mg,Tablet,Antihistamines,"['Acmon-DM Tablet SR', 'Abrophyll-DM Tablet', 'Alsolve-DM Tablet']",True
Abmont 3D 10mg/120mg/200mg Tablet,Montelukast,10mg,Tablet,Antihistamines,"['Allegra-M Tablet', 'Air-M Tablet', 'Acegrow 3D Tablet']",True
Abmont AL 75mg/5mg/10mg Tablet,Ambroxol,75mg,Tablet,Antihistamines,"['Alerfix Total Tablet SR', 'Alersin-Total Tablet SR', 'Alercid Total 75mg/5mg/10mg Tablet']",True
Abmont LC 5mg/10mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Abnex Forte 10mg/120mg/200mg Tablet,Montelukast,10mg,Tablet,Antihistamines,"['Allegra-M Tablet', 'Air-M Tablet', 'Acegrow 3D Tablet']",True
Abnim Cold & Flu Tablet,Caffeine,25mg,Tablet,Antihistamines,"['Albicold N Tablet', 'Alflam Kold Tablet', 'Avokold N Tablet']",True
Abolish M Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Abolish-FX 120 Tablet,Fexofenadine,120mg,Tablet,Antihistamines,"['Allegra 120mg Tablet', 'Alrgee 120mg Tablet', 'Air 120 Tablet']",True
Abolish-FX 180 Tablet,Fexofenadine,180mg,Tablet,Antihistamines,"['Allegra 180mg Tablet', 'Air 180 Tablet', 'Algrot 180mg Tablet']",True
Abrophyll-DM Tablet,Acebrophylline,200mg,Tablet,Antihistamines,"['Abmac Tablet', 'Acmon-DM Tablet SR', 'Alsolve-DM Tablet']",True
Abzine Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Abzine-AM Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Acbro 3D 10mg/120mg/200mg Tablet SR,Montelukast,10mg,Tablet,Antihistamines,"['Allegra-M Tablet', 'Air-M Tablet', 'Acegrow 3D Tablet']",True
Accizine 5mg Tablet DT,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Acebrel FM 10mg/120mg/200mg Tablet,Montelukast,10mg,Tablet,Antihistamines,"['Allegra-M Tablet', 'Air-M Tablet', 'Acegrow 3D Tablet']",True
Acebrodak-DM Tablet SR,Acebrophylline,200mg,Tablet,Antihistamines,"['Abmac Tablet', 'Acmon-DM Tablet SR', 'Abrophyll-DM Tablet']",True
Acebronk MFX 10mg/120mg/200mg Tablet,Montelukast,10mg,Tablet,Antihistamines,"['Allegra-M Tablet', 'Air-M Tablet', 'Acegrow 3D Tablet']",True
Acebrovin LM 10mg/5mg/200mg Tablet,Montelukast,10mg,Tablet,Antihistamines,"['Allegra-M Tablet', 'Air-M Tablet', 'Acegrow 3D Tablet']",True
Acecold Syrup,Cetirizine,2.5mg/5ml,Syrup,Antihistamines,"['Alocet-XL 2.5mg/5ml/30mg/5ml Syrup', 'Ascodex Mintz Ctz Syrup', 'AX Cold Syrup']",True
Acefil BD 150mg/5mg Tablet,Diethylcarbamazine,150mg,Tablet,Antihistamines,"['Bocet-BD 150mg/5mg Tablet', 'Carcet 150mg/5mg Tablet', 'Carlev 150mg/2.5mg Tablet']",True
Acegold Total 10mg/5mg/200mg Tablet PR,Montelukast,10mg,Tablet,Antihistamines,"['Allegra-M Tablet', 'Air-M Tablet', 'Acegrow 3D Tablet']",True
Acegrow 3D Tablet,Montelukast,10mg,Tablet,Antihistamines,"['Allegra-M Tablet', 'Air-M Tablet', 'Arophyll HD 10mg/120mg/200mg Tablet']",True
Aceline-LM Tablet,Montelukast,10mg,Tablet,Antihistamines,"['Allegra-M Tablet', 'Air-M Tablet', 'Acegrow 3D Tablet']",True
Acemodes 200mg/5mg/10mg Tablet,Acebrophylline,200mg,Tablet,Antihistamines,"['Abmac Tablet', 'Acmon-DM Tablet SR', 'Abrophyll-DM Tablet']",True
Acemont FX 10mg/120mg/200mg Tablet PR,Montelukast,10mg,Tablet,Antihistamines,"['Allegra-M Tablet', 'Air-M Tablet', 'Acegrow 3D Tablet']",True
Acephin-LM Tablet SR,Montelukast,10mg,Tablet,Antihistamines,"['Allegra-M Tablet', 'Air-M Tablet', 'Acegrow 3D Tablet']",True
Acephyl-FM Tablet,Montelukast,10mg,Tablet,Antihistamines,"['Allegra-M Tablet', 'Air-M Tablet', 'Acegrow 3D Tablet']",True
Acet 10mg Tablet,Cetirizine,10mg,Tablet,Antihistamines,"['Alerid Tablet', 'Allercet-DC Tablet', 'Agmacet 10mg Tablet']",True
Acet Plus Syrup,Cetirizine,NA,Syrup,Antihistamines,"['Alkem Plus Syrup', 'Amrol C Syrup', 'Arexol Syrup']",True
Acet Plus Tablet,Cetirizine,NA,Tablet,Antihistamines,"['Anglocet Tablet', 'Alcet Tablet', 'Alzine L Tablet']",True
Acethama-DM Tablet SR,Acebrophylline,200mg,Tablet,Antihistamines,"['Abmac Tablet', 'Acmon-DM Tablet SR', 'Abrophyll-DM Tablet']",True
Acethama-FM Tablet SR,Montelukast,10mg,Tablet,Antihistamines,"['Allegra-M Tablet', 'Air-M Tablet', 'Acegrow 3D Tablet']",True
Acfylin FM 10mg/120mg/200mg Tablet SR,Montelukast,10mg,Tablet,Antihistamines,"['Allegra-M Tablet', 'Air-M Tablet', 'Acegrow 3D Tablet']",True
Acibofil-LM 10mg/5mg/200mg Tablet,Montelukast,10mg,Tablet,Antihistamines,"['Allegra-M Tablet', 'Air-M Tablet', 'Acegrow 3D Tablet']",True
Acit 10mg Tablet,Cetirizine,10mg,Tablet,Antihistamines,"['Alerid Tablet', 'Allercet-DC Tablet', 'Agmacet 10mg Tablet']",True
Aclomont DM 200mg/5mg/10mg Tablet SR,Acebrophylline,200mg,Tablet,Antihistamines,"['Abmac Tablet', 'Acmon-DM Tablet SR', 'Abrophyll-DM Tablet']",True
Acmon-DM Tablet SR,Acebrophylline,200mg,Tablet,Antihistamines,"['Abmac Tablet', 'Abrophyll-DM Tablet', 'Alsolve-DM Tablet']",True
Acmon-FX Tablet,Montelukast,10mg,Tablet,Antihistamines,"['Allegra-M Tablet', 'Air-M Tablet', 'Acegrow 3D Tablet']",True
Acolate LP 2.5mg/10mg Tablet,Levocetirizine,2.5mg,Tablet,Antihistamines,"['Allercet-M Kid Tablet DT', 'Alzero D Tablet', 'Allermin Tablet']",True
Acolate M Kid Syrup Orange,Levocetirizine,2.5mg/5ml,Syrup,Antihistamines,"['Allercet-M Syrup', 'Alday Duo Syrup', 'Ancer LM Syrup']",True
Acolate M Kid Tablet,Levocetirizine,2.5mg,Tablet,Antihistamines,"['Allercet-M Kid Tablet DT', 'Alzero D Tablet', 'Acolate LP 2.5mg/10mg Tablet']",True
Acolate M Tablet,Cetirizine,5mg,Tablet,Antihistamines,"['Alerid-D Tablet', 'Alerid Cold Tablet', 'Alkem Cold 5 mg/500 mg/5 mg Tablet']",True
Acolate P Plus Tablet,Ambroxol,60mg,Tablet,Antihistamines,"['Alaspan AM Tablet', 'Alastin AM Tablet', 'Alevict Plus Tablet']",True
Acolate Plus Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Acolate SR Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Acolate-L 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Acrecet 10mg Tablet,Cetirizine,10mg,Tablet,Antihistamines,"['Alerid Tablet', 'Allercet-DC Tablet', 'Agmacet 10mg Tablet']",True
Acrecet L 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Acrecet-LM Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Acrocet-M Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Acrocold 5mg/325mg/10mg Tablet,Cetirizine,5mg,Tablet,Antihistamines,"['Alerid-D Tablet', 'Alerid Cold Tablet', 'Alkem Cold 5 mg/500 mg/5 mg Tablet']",True
Act 5 mg/60 mg Tablet,Cetirizine,5mg,Tablet,Antihistamines,"['Alerid-D Tablet', 'Alerid Cold Tablet', 'Alkem Cold 5 mg/500 mg/5 mg Tablet']",True
Act Syrup,Cetirizine,5mg,Syrup,Antihistamines,"['Alkof LS Syrup', 'Alernyl 5 mg/10 mg Syrup', 'Ambrocet Syrup']",True
Actimont L 5mg/10mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Active Cold M 5mg/10mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Active Junior Syrup,Ambroxol,7.5mg,Syrup,Antihistamines,[],True
Actlm Kid Tablet,Levocetirizine,2.5mg,Tablet,Antihistamines,"['Allercet-M Kid Tablet DT', 'Alzero D Tablet', 'Acolate LP 2.5mg/10mg Tablet']",True
Actlm Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Actocet Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Acucet 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Addegra 120mg Tablet,Fexofenadine,120mg,Tablet,Antihistamines,"['Allegra 120mg Tablet', 'Alrgee 120mg Tablet', 'Air 120 Tablet']",True
Addine 10mg Tablet,Loratadine,10mg,Tablet,Antihistamines,"['Alorti Tablet', 'Algo 10mg Tablet', 'Astadin 10mg Tablet']",True
Adelcet 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Adicold 5mg/325mg/5mg Tablet,Cetirizine,5mg,Tablet,Antihistamines,"['Alerid-D Tablet', 'Alerid Cold Tablet', 'Alkem Cold 5 mg/500 mg/5 mg Tablet']",True
Adimont L Syrup,Levocetirizine,2.5mg,Syrup,Antihistamines,"['Alzero M Syrup', 'Alday Kid Syrup', 'Allercet-L Syrup']",True
Adimont-FX Tablet,Montelukast,10mg,Tablet,Antihistamines,"['Allegra-M Tablet', 'Air-M Tablet', 'Acegrow 3D Tablet']",True
Adimont-L Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Adimont-LC Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Adizen 10mg Tablet,Levocetirizine,10mg,Tablet,Antihistamines,"['Alvizine 10mg Tablet', 'Allelin 10mg Tablet', 'Alvocet 10mg Tablet MD']",True
Adizen 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Adlee 5 Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Adlevo 10mg Tablet,Levocetirizine,10mg,Tablet,Antihistamines,"['Alvizine 10mg Tablet', 'Allelin 10mg Tablet', 'Alvocet 10mg Tablet MD']",True
Adliz 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Adliz M 5mg/10mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Admon LC 5mg/10mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Admont-LC Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Admozine-L Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Adnofast DL 200mg/5mg/10mg Tablet,Acebrophylline,200mg,Tablet,Antihistamines,"['Abmac Tablet', 'Acmon-DM Tablet SR', 'Abrophyll-DM Tablet']",True
Adrizen 5 Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Adrizen-M Syrup,Levocetirizine,2.5mg/5ml,Syrup,Antihistamines,"['Allercet-M Syrup', 'Alday Duo Syrup', 'Acolate M Kid Syrup Orange']",True
Adrizen-M Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Advo-Lcet Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Advocet Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Advocet-M Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Advomont L Syrup,Levocetirizine,2.5mg/5ml,Syrup,Antihistamines,"['Allercet-M Syrup', 'Alday Duo Syrup', 'Acolate M Kid Syrup Orange']",True
Advomont-L Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Aedicold NP Tablet,Caffeine,25mg,Tablet,Antihistamines,"['Albicold N Tablet', 'Alflam Kold Tablet', 'Avokold N Tablet']",True
Aelevo 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Aelfex 120mg Tablet,Fexofenadine,120mg,Tablet,Antihistamines,"['Allegra 120mg Tablet', 'Alrgee 120mg Tablet', 'Air 120 Tablet']",True
Aelfex M 10mg/120mg Tablet,Montelukast,10mg,Tablet,Antihistamines,"['Allegra-M Tablet', 'Air-M Tablet', 'Acegrow 3D Tablet']",True
Aelmont L 5mg/10mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Aelmont L Syrup,Levocetirizine,2.5mg,Syrup,Antihistamines,"['Alzero M Syrup', 'Alday Kid Syrup', 'Allercet-L Syrup']",True
Aero-AX Tablet SR,Ambroxol,75mg,Tablet,Antihistamines,"['Alerfix Total Tablet SR', 'Alersin-Total Tablet SR', 'Alercid Total 75mg/5mg/10mg Tablet']",True
Aero-DL Tablet SR,Acebrophylline,200mg,Tablet,Antihistamines,"['Abmac Tablet', 'Acmon-DM Tablet SR', 'Abrophyll-DM Tablet']",True
Aerocast L 5mg/10mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Aerocast L Kid 2.5mg/4mg Syrup,Levocetirizine,2.5mg,Syrup,Antihistamines,"['Alzero M Syrup', 'Alday Kid Syrup', 'Allercet-L Syrup']",True
Aerocast L Kid 2.5mg/4mg Tablet,Levocetirizine,2.5mg,Tablet,Antihistamines,"['Allercet-M Kid Tablet DT', 'Alzero D Tablet', 'Acolate LP 2.5mg/10mg Tablet']",True
Aeromax 5mg/10mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Aeromon Syrup,Levocetirizine,2.5mg,Syrup,Antihistamines,"['Alzero M Syrup', 'Alday Kid Syrup', 'Allercet-L Syrup']",True
Aeromon Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Afexdine 120mg Tablet,Fexofenadine,120mg,Tablet,Antihistamines,"['Allegra 120mg Tablet', 'Alrgee 120mg Tablet', 'Air 120 Tablet']",True
Afexdine 180mg Tablet,Fexofenadine,180mg,Tablet,Antihistamines,"['Allegra 180mg Tablet', 'Air 180 Tablet', 'Algrot 180mg Tablet']",True
Affixocold Tablet,Caffeine,25mg,Tablet,Antihistamines,"['Albicold N Tablet', 'Alflam Kold Tablet', 'Avokold N Tablet']",True
Affycet 10mg Tablet,Cetirizine,10mg,Tablet,Antihistamines,"['Alerid Tablet', 'Allercet-DC Tablet', 'Agmacet 10mg Tablet']",True
Afineday Tablet,Montelukast,10mg,Tablet,Antihistamines,"['Allegra-M Tablet', 'Air-M Tablet', 'Acegrow 3D Tablet']",True
Afxo MT 10mg/120mg Tablet,Montelukast,10mg,Tablet,Antihistamines,"['Allegra-M Tablet', 'Air-M Tablet', 'Acegrow 3D Tablet']",True
Agicet LC 5mg/10mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Agifox-M Tablet,Montelukast,10mg,Tablet,Antihistamines,"['Allegra-M Tablet', 'Air-M Tablet', 'Acegrow 3D Tablet']",True
Agimont 5 Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Agimont Kid Syrup,Levocetirizine,2.5mg/5ml,Syrup,Antihistamines,"['Allercet-M Syrup', 'Alday Duo Syrup', 'Acolate M Kid Syrup Orange']",True
Agin 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Agmacet 10mg Tablet,Cetirizine,10mg,Tablet,Antihistamines,"['Alerid Tablet', 'Allercet-DC Tablet', 'Alergin 10mg Tablet']",True
Agonil 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Agrocet 10mg Tablet,Cetirizine,10mg,Tablet,Antihistamines,"['Alerid Tablet', 'Allercet-DC Tablet', 'Agmacet 10mg Tablet']",True
Aiday 10mg Tablet,Cetirizine,10mg,Tablet,Antihistamines,"['Alerid Tablet', 'Allercet-DC Tablet', 'Agmacet 10mg Tablet']",True
Aimfokast L Syrup,Levocetirizine,2.5mg,Syrup,Antihistamines,"['Alzero M Syrup', 'Alday Kid Syrup', 'Allercet-L Syrup']",True
Aimfokast L Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Air 120 Tablet,Fexofenadine,120mg,Tablet,Antihistamines,"['Allegra 120mg Tablet', 'Alrgee 120mg Tablet', 'Altiva 120mg Tablet']",True
Air 180 Tablet,Fexofenadine,180mg,Tablet,Antihistamines,"['Allegra 180mg Tablet', 'Algrot 180mg Tablet', 'Altiva 180mg Tablet']",True
Air-M Tablet,Montelukast,10mg,Tablet,Antihistamines,"['Allegra-M Tablet', 'Acegrow 3D Tablet', 'Arophyll HD 10mg/120mg/200mg Tablet']",True
Airflow HD Tablet,Montelukast,10mg,Tablet,Antihistamines,"['Allegra-M Tablet', 'Air-M Tablet', 'Acegrow 3D Tablet']",True
Airitis 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Airkast-FX Tablet,Montelukast,10mg,Tablet,Antihistamines,"['Allegra-M Tablet', 'Air-M Tablet', 'Acegrow 3D Tablet']",True
Airkast-L 5mg/10mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Airkast-L Kid 2.5mg/4mg Tablet,Levocetirizine,2.5mg,Tablet,Antihistamines,"['Allercet-M Kid Tablet DT', 'Alzero D Tablet', 'Acolate LP 2.5mg/10mg Tablet']",True
Airlung AB Tablet,Montelukast,10mg,Tablet,Antihistamines,"['Allegra-M Tablet', 'Air-M Tablet', 'Acegrow 3D Tablet']",True
Airlung FX 10mg/120mg Tablet,Montelukast,10mg,Tablet,Antihistamines,"['Allegra-M Tablet', 'Air-M Tablet', 'Acegrow 3D Tablet']",True
Airlung Syrup,Levocetirizine,2.5mg/5ml,Syrup,Antihistamines,"['Allercet-M Syrup', 'Alday Duo Syrup', 'Acolate M Kid Syrup Orange']",True
Airmont LC 5mg/10mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Airmont-L Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
